project_id,公開先の種類,名称,正確なURL,公開状態,アクセスできるか,ページが伝えている価値,主要CTAの文言,CTAの遷移先,利用開始までの手順,確認できたリンク切れや導線の問題,計測ツール,計測の状態：コードのみ／設定済み／受信確認済み／未確認,確認状態,根拠,確認日時
multibot,公式ホームページ・日本語,Agent Team 日本語,https://forifor.github.io/Multibot/ja/,公開,HTTP 200,AIが作成・レビュー・修正し成果物と経緯を残す,実例を見る／自分の環境で使う／業務利用の相談,#example / #how-to / #consult,README準備→uvx quickstart→接続probe→ローカルUI,調査対象リンク200。フォーム送信・受信未検証,dataLayer + Cloud Run events/leadsコード,コードあり／受信未確認,確認済み（一部未確認）,docs/ja/index.html; docs/portfolio.js,2026-09-14 23:57 JST
multibot,公式ホームページ・英語,Agent Team English,https://forifor.github.io/Multibot/,公開,HTTP 200,同上,See a real example／Use it in your environment／Discuss using it at work,#example / #how-to / #consult,README準備→uvx quickstart。導入未検証,調査対象リンク200。フォーム送信・受信未検証,dataLayer + Cloud Run events/leadsコード,コードあり／受信未確認,確認済み（一部未確認）,docs/index.html; docs/portfolio.js,2026-09-14 23:57 JST
multibot,製品利用画面・デモ,実行記録・32秒動画,https://forifor.github.io/Multibot/ja/#example,公開,HTML/MP4取得,依頼→成果物→指摘→修正→再検証,実例を見る／実行画面の動画を見る,record.js、GitHub evidence,サイト閲覧。ライブ実行は自己ホスト,成功率ではなく一例。自動再生なし,demo_start/demo_complete/record_finding,コードあり／受信未確認,確認済み,docs/record.js; docs/evidence/scenarios/research2,2026-09-14 23:57 JST
multibot,GitHub,Agent Team / Multibot,https://github.com/FORIFOR/Multibot,公開,HTTP 200,OSSコード・設計・評価・証拠,Website／Quickstart／Star,Pages、README,clone/uvx→依存→接続→quickstart。未実行,Issues 0、PR 1。Traffic未取得,GitHub標準/Actions/Pages,一部公開値確認済み／Traffic未取得,確認済み,GitHub repo/API,2026-09-14 23:57 JST
multibot,GitHubドキュメント・実行証拠,Evidence / STATUS,https://github.com/FORIFOR/Multibot/tree/main/docs/evidence/scenarios/research2,公開,HTTP 200,partial・未検証も含む実行記録,イベント記録／最終報告／制約,GitHub files,閲覧のみ。実行は自己環境,リンク200。計測説明に資料差分,サイトイベントコード,コード・資料のみ／受信未確認,確認済み（一部記載差分）,docs/evidence/scenarios/research2; docs/site/ACCEPTANCE.md; docs/portfolio.js,2026-09-14 23:57 JST
multibot,配布ページ・Release,v0.1.0〜v0.2.1,https://github.com/FORIFOR/Multibot/releases,公開,HTTP 200/API 200,wheel・デモ配布,Releaseダウンロード,GitHub Release assets,asset選択。利用者数不明,Traffic/clone未取得,GitHub asset counter,asset値のみ確認／利用者不明,確認済み,GitHub Releases API,2026-09-14 23:57 JST
multibot,記事,Zenn,https://zenn.dev/forifori/articles/agent-team-launch,公開,HTTP 200,partial実行・レビュー修正・限界・試し方,GitHubカード／リンク,GitHub,記事→GitHub。クリック帰属未計測,PV未取得,Zenn反応,反応確認／PV未確認,確認済み,Zenn __NEXT_DATA__ article 650356,2026-09-14 23:57 JST
multibot,記事,dev.to,https://dev.to/forifor/i-built-an-ai-team-that-ships-real-work-and-shows-you-the-conversation-251a,公開,HTTP 200/API 200,実モデル作業・制約・導入,Repo／Site + intro,GitHub/Pages,記事→Repo/Site。帰属未計測,PV未取得,dev.to reactions/comments,公開反応確認／PV未確認,確認済み,dev.to API article 4639808,2026-09-14 23:57 JST
multibot,SNS動画,Facebook reel,https://www.facebook.com/reel/1117648910591001/,Public表示,HTTP 200/OG,32秒実モデル記録・partial・未検証,サイト・GitHub・Star,Facebook UTM付きサイト/GitHub,動画→サイト/GitHub。クリック未計測,Insights未取得,Facebook公開ページ/Insights,本文確認／Insights未確認,確認済み（一部未確認）,Facebook OG; marketing/POSTED.md,2026-09-14 23:57 JST
multibot,問い合わせ先,業務利用相談フォーム,https://forifor.github.io/Multibot/ja/#consult,フォーム公開,UI取得,仕事と条件を相談,非公開で相談する,Cloud Run api/site/leads,入力→同意→送信想定。未送信,受付・返信・商談未確認,portfolio.js leads/contact_submit,コードのみ／受信未確認,一部確認,docs/portfolio.js; docs/ja/index.html,2026-09-14 23:57 JST
multibot,料金・購入,料金／決済,該当URLなし,未確認,該当なし,MIT＋接続費用説明のみ,料金・購入CTAなし,なし,未確認,料金・決済なし,なし,未設定,未確認,README; 公開サイトリンク確認,2026-09-14 23:57 JST
