project_id,媒体,発信アカウント,投稿IDまたは投稿URL,公開日時,活動の種類,内容の要約,形式,使用言語,訴求している価値,読者に求める行動,誘導先URL,UTMなど追跡情報の有無,状態：公開済み／予約済み／下書き／公開失敗,取得できた反応数値,数値の取得日時,根拠
multibot,X,@forifori_dev,https://x.com/forifori_dev/status/2098800226199130220; https://x.com/forifori_dev/status/2098800236382900538; https://x.com/forifori_dev/status/2098800248852545951; https://x.com/forifori_dev/status/2098800259225067923; https://x.com/forifori_dev/status/2098800269371085284; https://x.com/forifori_dev/status/2098800281513570639,2026-09-13 00:45 JST（資料記載）,ローンチスレッド,実メッセージ、revision検証、Runtime制約、接続先,文章＋動画/画像,英語,監査できるAIチーム,GitHub Star、サイト閲覧,https://github.com/FORIFOR/Multibot; https://forifor.github.io/Multibot/,なし,公開済み（本文一部取得不可）,,,marketing/POSTED.md; X canonical URLs
multibot,X,@forifori_dev,https://x.com/forifori_dev/status/2098800307421716835; https://x.com/forifori_dev/status/2098800317681049772; https://x.com/forifori_dev/status/2098800329697747289; https://x.com/forifori_dev/status/2098800340078612501; https://x.com/forifori_dev/status/2098800350723744243; https://x.com/forifori_dev/status/2098800362719514927,2026-09-13 00:46 JST（資料記載）,ローンチスレッド,実配送メッセージ、revision検証、Runtime制約、Ollama対応、限界,文章＋動画/画像,日本語,成果物と経緯を残すOSS,GitHub Star、サイト閲覧,https://github.com/FORIFOR/Multibot; https://forifor.github.io/Multibot/,なし,公開済み（本文一部取得不可）,,,marketing/POSTED.md; X canonical URLs
multibot,X,@forifori_dev,https://x.com/forifori_dev/status/2098924627162792058,2026-09-13 09:00 JST（資料記載）,追加告知,本文未取得の動画投稿,動画,日本語,未確認,未確認,,未確認,公開URL確認・本文取得不可,,,marketing/POSTED.md; X canonical URL
multibot,X,@forifori_dev,https://x.com/forifori_dev/status/2098925143389343862,2026-09-13 09:02 JST（資料記載）,追加告知,本文未取得の動画投稿,動画,英語,未確認,未確認,,未確認,公開URL確認・本文取得不可,,,marketing/POSTED.md; X canonical URL
multibot,Zenn,forifori,https://zenn.dev/forifori/articles/agent-team-launch,2026-09-13 00:45 JST,記事公開・更新,partial実行、レビュー修正、未検証、費用、試し方,記事・画像・動画リンク,日本語,透明な実行証拠,GitHub閲覧/導入,https://github.com/FORIFOR/Multibot,なし,公開済み／本文更新,いいね1・コメント0・ブックマーク0,2026-09-14 23:57 JST,Zenn __NEXT_DATA__; marketing/ZENN-RESEARCH-2026-09-14.md
multibot,dev.to,forifor,https://dev.to/forifor/i-built-an-ai-team-that-ships-real-work-and-shows-you-the-conversation-251a,2026-09-13 00:44 JST,記事公開,実作業・実メッセージ・revision検証・限界,記事,英語,chatが台本ではなく仕事の記録,Repo/Site閲覧,https://github.com/FORIFOR/Multibot; https://forifor.github.io/Multibot/,なし,公開済み,リアクション0・コメント1,2026-09-14 23:57 JST,dev.to page/API 4639808
multibot,Facebook,foriforapps,https://www.facebook.com/reel/1117648910591001/,2026-09-14 JST（資料記載）,リール公開,3ページ比較→レビュー→修正→検証、partial/未検証を32秒で説明,操作デモ動画,日本語,監査可能な実モデル作業,サイト、GitHub Star,https://forifor.github.io/Multibot/ja/?utm_source=facebook&utm_medium=social&utm_campaign=real_workflow_20260914; https://github.com/FORIFOR/Multibot,あり,公開済み/Public,反応数値未取得,2026-09-14 23:57 JST,Facebook OG/canonical; marketing/POSTED.md
multibot,Facebook,foriforapps,https://www.facebook.com/profile.php?id=61593966556275,2026-09-13早朝 JST（資料記載）,初回リール投稿,short-ja.mp4とGitHub/Zennリンクの投稿と資料に記載,動画,日本語,製品実演,GitHub/Zenn,資料記載のみ,不明,資料上投稿済み（個別URL未確認）,反応数値取得不可,2026-09-14 23:57 JST,marketing/POSTED.md; Facebook page
multibot,GitHub Release,FORIFOR,https://github.com/FORIFOR/Multibot/releases,2026-09-12〜13 JST,Release,v0.1.0〜v0.2.1、導入・再現性・証拠,Release/asset,英語,OSS導入・再現性,asset download,https://github.com/FORIFOR/Multibot/releases,なし,公開済み,v0.2.1 wheel 2、v0.1.0 demo.gif 1/demo.mp4 1,2026-09-14 23:57 JST,GitHub Releases API
multibot,GitHub community,FORIFOR,https://github.com/caramaschiHG/awesome-ai-agents-2026/pull/572,2026-09-12（GitHub表示）,awesome-list PR,Multi-Agent Orchestrationへの追加,PR,英語,第三者リスト掲載,PR merge,https://github.com/caramaschiHG/awesome-ai-agents-2026/pull/572,なし,公開中／未マージ,レビューなし,2026-09-14 23:57 JST,GitHub PR #572
multibot,GitHub community,FORIFOR,https://github.com/Jenqyang/Awesome-AI-Agents/pull/487,2026-09-12（GitHub表示）,awesome-list PR,Multi-Agent Task Solver Projectsへの追加,PR,英語,第三者リスト掲載,PR merge,https://github.com/Jenqyang/Awesome-AI-Agents/pull/487,なし,公開中／未マージ,レビューなし,2026-09-14 23:57 JST,GitHub PR #487
